发震时刻,震级,纬度(°),经度(°),深度(千米),参考位置,省份,城市
2020/4/1 20:23,5.6,33.04,98.92,10.0,四川甘孜州石渠县,四川省,甘孜
2020/3/23 3:21,5.0,41.75,81.11,10.0,新疆阿克苏地区拜城县,新疆维吾尔自治区,阿克苏
2020/3/20 9:33,5.9,28.63,87.42,10.0,西藏日喀则市定日县,西藏自治区,日喀则
2020/3/12 23:44,5.1,32.88,85.55,10.0,西藏阿里地区改则县,西藏自治区,阿里
2020/3/10 2:12,5.0,32.84,85.52,10.0,西藏阿里地区改则县,西藏自治区,阿里
2020/2/21 23:39,5.1,39.87,77.47,10.0,新疆喀什地区伽师县,新疆维吾尔自治区,喀什
2020/2/21 2:01,5.0,34.56,85.68,9.0,西藏阿里地区改则县,西藏自治区,阿里
2020/2/15 19:00,5.4,23.95,121.49,10.0,台湾花莲县,台湾省,台湾
2020/2/3 0:05,5.1,30.74,104.46,21.0,四川成都市青白江区,四川省,成都
2020/1/25 6:56,5.1,31.98,95.09,10.0,西藏昌都市丁青县,西藏自治区,昌都
2020/1/19 22:23,5.2,39.89,77.46,14.0,新疆克孜勒苏州阿图什市,新疆维吾尔自治区,克孜勒苏
2020/1/19 21:27,6.4,39.83,77.21,16.0,新疆喀什地区伽师县,新疆维吾尔自治区,喀什
2020/1/18 0:05,5.4,39.83,77.18,20.0,新疆喀什地区伽师县,新疆维吾尔自治区,喀什
2020/1/16 16:32,5.6,41.21,83.6,16.0,新疆阿克苏地区库车县,新疆维吾尔自治区,阿克苏
2019/12/18 8:14,5.2,29.59,104.82,14.0,四川内江市资中县,四川省,内江
2019/11/25 9:18,5.2,22.89,106.65,10.0,广西百色市靖西市,广西壮族自治区,百色
2019/10/28 1:56,5.7,35.1,102.69,10.0,甘肃甘南州夏河县,甘肃省,甘南
2019/10/27 13:29,5.0,41.21,78.82,11.0,新疆阿克苏地区乌什县,新疆维吾尔自治区,阿克苏
2019/10/17 19:44,5.1,24.02,122.58,16.0,台湾花莲县海域,台湾省,台湾
2019/10/12 22:55,5.2,22.18,110.51,10.0,广西玉林市北流市,广西壮族自治区,玉林
2019/9/16 20:48,5.0,38.6,100.35,11.0,甘肃张掖市甘州区,甘肃省,张掖
2019/9/8 6:42,5.4,29.55,104.79,10.0,四川内江市威远县,四川省,内江
2019/8/18 12:05,5.0,23.74,121.57,6.0,台湾花莲县,台湾省,台湾
2019/8/8 5:28,6.4,24.52,121.96,30.0,台湾宜兰县海域,台湾省,台湾
2019/7/19 17:22,5.6,27.67,92.89,10.0,西藏山南市错那县,西藏自治区,山南
2019/7/4 10:17,5.6,28.41,104.74,8.0,四川宜宾市珙县,四川省,宜宾
2019/6/22 22:29,5.4,28.43,104.77,10.0,四川宜宾市珙县,四川省,宜宾
2019/6/18 7:34,5.3,28.37,104.89,17.0,四川宜宾市长宁县,四川省,宜宾
2019/6/17 23:36,5.1,28.43,104.77,16.0,四川宜宾市珙县,四川省,宜宾
2019/6/17 22:55,6.0,28.34,104.9,16.0,四川宜宾市长宁县,四川省,宜宾
